Organisation,SctrCluster,3RP,P_CODE,P_CODE_DIS
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR01,TR0101104
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
IMPR,Protection,Yes,TR63,TR6302091
International Blue Crescent Relief and Development Foundation (IBC),Protection,Yes,TR27,TR2701415
International Blue Crescent Relief and Development Foundation (IBC),Protection,Yes,TR27,TR2701415
International Blue Crescent Relief and Development Foundation (IBC),Protection,Yes,TR27,TR2701841
International Blue Crescent Relief and Development Foundation (IBC),Protection,Yes,TR63,TR6301115
International Blue Crescent Relief and Development Foundation (IBC),Protection,Yes,TR63,TR6301115
International Blue Crescent Relief and Development Foundation (IBC),Protection,Yes,TR63,TR6301115
International Blue Crescent Relief and Development Foundation (IBC),Protection,Yes,TR63,TR6301115
International Blue Crescent Relief and Development Foundation (IBC),Protection,Yes,TR63,TR6301115
International Blue Crescent Relief and Development Foundation (IBC),Protection,Yes,TR63,TR6301115
International Blue Crescent Relief and Development Foundation (IBC),Protection,Yes,TR63,TR6301115
International Blue Crescent Relief and Development Foundation (IBC),Protection,Yes,TR63,TR6301115
International Blue Crescent Relief and Development Foundation (IBC),Protection,Yes,TR63,TR6301643
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
IRC,Protection,no,TR31,TR3101413
IRC,Protection,no,TR31,TR3101413
Mercy Corps ,Protection,No,TR27,TR2701841
Mercy Corps ,Protection,No,TR27,TR2701841
Mercy Corps ,Protection,No,TR27,TR2701841
Mercy Corps ,Protection,No,TR27,TR2701841
Mercy Corps ,Protection,No,TR27,TR2701841
Mercy Corps ,Protection,No,TR27,TR2701841
Mercy Corps ,Protection,No,TR27,TR2701841
Mercy Corps ,Protection,No,TR27,TR2701841
Mercy Corps ,Protection,No,TR27,TR2701841
Mercy Corps ,Protection,No,TR27,TR2701841
Mercy Corps ,Protection,No,TR27,TR2701841
Mercy Corps ,Protection,No,TR27,TR2701841
Mercy Corps ,Protection,No,TR27,TR2701841
Mercy Corps ,Protection,No,TR27,TR2701841
Mercy Corps ,Protection,No,TR27,TR2701841
Relief International,Protection,No,TR27,TR2701844
Relief International,Protection,Yes,TR27,TR2701844
Relief International,Protection,Yes,TR27,TR2701844
Relief International,Protection,Yes,TR27,TR2701844
Relief International,Protection,No,TR27,TR2701844
Relief International,Protection,No,TR27,TR2701844
Relief International,Protection,No,TR27,TR2701844
Relief International,Protection,No,TR27,TR2701844
Relief International,Protection,No,TR27,TR2701844
Relief International,Protection,No,TR27,TR2701844
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
Yuva,Protection,Yes,TR27,TR2701546
Yuva,Protection,Yes,TR27,TR2701546
Yuva,Protection,Yes,TR27,TR2701546
Yuva,Protection,Yes,TR27,TR2701546
Yuva,Protection,Yes,TR27,TR2701546
Yuva,Protection,Yes,TR27,TR2701546
Yuva,Protection,Yes,TR27,TR2701546
Yuva,Protection,No,TR27,TR2701546
Yuva,Protection,No,TR31,TR3101468
Yuva,Protection,No,TR31,TR3101468
Yuva,Protection,No,TR31,TR3101468
Yuva,Protection,No,TR31,TR3101468
Yuva,Protection,No,TR31,TR3101468
Yuva,Protection,No,TR31,TR3101468
Yuva,Protection,No,TR31,TR3101468
Yuva,Protection,No,TR31,TR3101468
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
ASAM,Protection,Yes,TR47,TR4702088
Danish Refugee Council,Protection,No,TR46,TR4602084
Danish Refugee Council,Protection,No,TR46,TR4602084
Danish Refugee Council,Protection,No,TR46,TR4602084
ASAM,Protection,Yes,TR80,TR8001560
ASAM,Protection,Yes,TR80,TR8001560
ASAM,Protection,Yes,TR80,TR8001560
ASAM,Protection,Yes,TR80,TR8001560
ASAM,Protection,Yes,TR80,TR8001560
International Organisation for Migration (IOM),Protection,Yes,TR63,TR6302092
Danish Refugee Council,Protection,No,TR46,TR4602084
Danish Refugee Council,Protection,No,TR46,TR4602084
Danish Refugee Council,Protection,No,TR46,TR4602084
International Organisation for Migration (IOM),Protection,Yes,TR63,TR6302092
International Organisation for Migration (IOM),Protection,Yes,TR63,TR6302092
International Organisation for Migration (IOM),Protection,Yes,TR63,TR6302092
International Organisation for Migration (IOM),Protection,Yes,TR63,TR6302092
Danish Refugee Council,Protection,No,TR63,TR6302092
Danish Refugee Council,Protection,No,TR63,TR6302092
Danish Refugee Council,Protection,No,TR63,TR6302092
Danish Refugee Council,Protection,No,TR63,TR6302092
Danish Refugee Council,Protection,No,TR63,TR6302092
Danish Refugee Council,Protection,No,TR63,TR6302092
Danish Refugee Council,Protection,No,TR63,TR6302092
Danish Refugee Council,Protection,No,TR63,TR6302092
Danish Refugee Council,Protection,No,TR63,TR6302092
Danish Refugee Council,Protection,No,TR63,TR6302092
